ID,industrycode,industry,code,name
1,11,"Agriculture, Forestry, Fishing and Hunting",11,"Agriculture, Forestry, Fishing and Hunting"
2,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production
3,11,"Agriculture, Forestry, Fishing and Hunting",1111,Oilseed and Grain Farming
4,11,"Agriculture, Forestry, Fishing and Hunting",11111,Soybean Farming
5,11,"Agriculture, Forestry, Fishing and Hunting",111110,Soybean Farming
6,11,"Agriculture, Forestry, Fishing and Hunting",11112,Oilseed (except Soybean) Farming
7,11,"Agriculture, Forestry, Fishing and Hunting",111120,Oilseed (except Soybean) Farming
8,11,"Agriculture, Forestry, Fishing and Hunting",11113,Dry Pea and Bean Farming
9,11,"Agriculture, Forestry, Fishing and Hunting",111130,Dry Pea and Bean Farming
10,11,"Agriculture, Forestry, Fishing and Hunting",11114,Wheat Farming
11,11,"Agriculture, Forestry, Fishing and Hunting",111140,Wheat Farming
12,11,"Agriculture, Forestry, Fishing and Hunting",11115,Corn Farming
13,11,"Agriculture, Forestry, Fishing and Hunting",111150,Corn Farming
14,11,"Agriculture, Forestry, Fishing and Hunting",11116,Rice Farming
15,11,"Agriculture, Forestry, Fishing and Hunting",111160,Rice Farming
16,11,"Agriculture, Forestry, Fishing and Hunting",11119,Other Grain Farming
17,11,"Agriculture, Forestry, Fishing and Hunting",111191,Oilseed and Grain Combination Farming
18,11,"Agriculture, Forestry, Fishing and Hunting",111199,All Other Grain Farming
19,11,"Agriculture, Forestry, Fishing and Hunting",1112,Vegetable and Melon Farming
20,11,"Agriculture, Forestry, Fishing and Hunting",11121,Vegetable and Melon Farming
21,11,"Agriculture, Forestry, Fishing and Hunting",111211,Potato Farming
22,11,"Agriculture, Forestry, Fishing and Hunting",111219,Other Vegetable (except Potato) and Melon Farming
23,11,"Agriculture, Forestry, Fishing and Hunting",1113,Fruit and Tree Nut Farming
24,11,"Agriculture, Forestry, Fishing and Hunting",11131,Orange Groves
25,11,"Agriculture, Forestry, Fishing and Hunting",111310,Orange Groves
26,11,"Agriculture, Forestry, Fishing and Hunting",11132,Citrus (except Orange) Groves
27,11,"Agriculture, Forestry, Fishing and Hunting",111320,Citrus (except Orange) Groves
28,11,"Agriculture, Forestry, Fishing and Hunting",11133,Noncitrus Fruit and Tree Nut Farming
29,11,"Agriculture, Forestry, Fishing and Hunting",111331,Apple Orchards
30,11,"Agriculture, Forestry, Fishing and Hunting",111332,Grape Vineyards
31,11,"Agriculture, Forestry, Fishing and Hunting",111333,Strawberry Farming
32,11,"Agriculture, Forestry, Fishing and Hunting",111334,Berry (except Strawberry) Farming
33,11,"Agriculture, Forestry, Fishing and Hunting",111335,Tree Nut Farming
34,11,"Agriculture, Forestry, Fishing and Hunting",111336,Fruit and Tree Nut Combination Farming
35,11,"Agriculture, Forestry, Fishing and Hunting",111339,Other Noncitrus Fruit Farming
36,11,"Agriculture, Forestry, Fishing and Hunting",1114,"Greenhouse, Nursery, and Floriculture Production"
