Rank,Company,total,units,Month,Year
1,Yahoo,3,billion,October,2017
2,Aadhaar,1.1,billion,March,2018
3,First American Financial Corp.,885,million,May,2019
4,Verifications.io,763,million,February,2019
5,Yahoo,500,million,NA,2014
6,Marriott/Starwood,500,million,November,2018
7,Adult Friend Finder,412.2,million,October,2016
8,MySpace,360,million,June,2013
9,Exactis,340,million,June,2018
10,Twitter,330,million,May,2018
11,NetEase,234,million,October,2015
12,LinkedIn,165,million,June,2012
13,Dubsmash,162,million,December,2018
14,Adobe,152,million,October,2013
15,MyFitnessPal,150,million,February,2018
16,Equifax,148,million,September,2017
17,eBay,145,million,February,2014
18,Canva,137,million,May,2019
19,Apollo,126,million,July,2018
20,Badoo,112,million,July,2013
21,Capital One,106,million,July,2013
22,Evite,101,million,August,2013
23,Quora,100,million,December,2018
24,VK,93,million,January,2012
25,MyHeritage,92,million,June,2018
26,Youku,92,million,December,2016
27,Rambler,91,million,March,2014
28,Facebook,87,million,Early,2018
29,Dailymotion,85,million,October,2016
30,Anthem,78.8,million,February,2015
31,Dropbox,69,million,Mid,2012
32,tumblr,66,million,February,2013
33,Uber,57,million,Late,2016
34,Home Depot,56,million,September,2014
