ID,Dataset,Month,Year,Desc,Raw_desc
1,Significant Cyber Incidents Since 2006,April,2020,Iranian government-backed hackers attempted to break into the accounts of WHO staffers in the midst of the Covid-19 pandemic,April 2020. Iranian government-backed hackers attempted to break into the accounts of WHO staffers in the midst of the Covid-19 pandemic
2,Significant Cyber Incidents Since 2006,March,2020,North Korean hackers targeted individuals involved with North Korean refugees issues as part of a cyber espionage campaign,March 2020. North Korean hackers targeted individuals involved with North Korean refugees issues as part of a cyber espionage campaign
3,Significant Cyber Incidents Since 2006,March,2020,Suspected South Korean hackers were found to have used five previously unreported software vulnerabilities to conduct a wide-ranging espionage campaign against North Korean targets,March 2020. Suspected South Korean hackers were found to have used five previously unreported software vulnerabilities to conduct a wide-ranging espionage campaign against North Korean targets
4,Significant Cyber Incidents Since 2006,March,2020,Saudi mobile operators exploited a flaw in global telecommunications infrastructure to track the location of Saudis traveling abroad,March 2020. Saudi mobile operators exploited a flaw in global telecommunications infrastructure to track the location of Saudis traveling abroad
5,Significant Cyber Incidents Since 2006,March,2020,"Chinese hackers targeted over 75 organizations around the world in the manufacturing, media, healthcare, and nonprofit sectors as part of a broad-ranging cyber espionage campaign","March 2020. Chinese hackers targeted over 75 organizations around the world in the manufacturing, media, healthcare, and nonprofit sectors as part of a broad-ranging cyber espionage campaign"
6,Significant Cyber Incidents Since 2006,March,2020,A suspected nation state hacking group was discovered to be targeting industrial sector companies in Iran,March 2020. A suspected nation state hacking group was discovered to be targeting industrial sector companies in Iran
7,Significant Cyber Incidents Since 2006,March,2020,Human rights activists and journalists in Uzbekistan were targeted by suspected state security hackers in a spearphishing campaign intended install spyware on their devices,March 2020. Human rights activists and journalists in Uzbekistan were targeted by suspected state security hackers in a spearphishing campaign intended install spyware on their devices
8,Significant Cyber Incidents Since 2006,March,2020,"Chinese cybersecurity firm Qihoo 360 accused the CIA of being involved in an 11- year long hacking campaign against Chinese industry targets, scientific research organizations, and government agencies","March 2020. Chinese cybersecurity firm Qihoo 360 accused the CIA of being involved in an 11- year long hacking campaign against Chinese industry targets, scientific research organizations, and government agencies"
9,Significant Cyber Incidents Since 2006,February,2020,The U.S. Department of Justice indicted two Chinese nationals for laundering cryptocurrency for North Korean hackers,February 2020. The U.S. Department of Justice indicted two Chinese nationals for laundering cryptocurrency for North Korean hackers
10,Significant Cyber Incidents Since 2006,February,2020,"Mexico’s economy ministry announced it had detected a cyber attack launched against the ministry’s networks, but that no sensitive data had been exposed.","February 2020. Mexico’s economy ministry announced it had detected a cyber attack launched against the ministry’s networks, but that no sensitive data had been exposed."
